Education,Marital_Status,Income,Recency,MntCoke,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Member_Year,Age,Kids,Total_Transactions,Total_Purchases,Campaign_Acc
1,0,33812000.0,86,4000,17000,19000,30000,24000,39000,2,2,1,3,6,0,0,0,0,0,0,0,0,37,1,133000,6,0
2,1,37040000.0,41,86000,2000,73000,69000,38000,48000,1,4,2,5,8,0,0,0,0,0,0,0,0,40,0,316000,11,0
2,1,2447000.0,42,1000,1000,1725000,1000,1000,1000,15,0,28,0,1,0,0,0,0,0,0,0,1,43,1,1730000,28,0
4,1,58607000.0,63,867000,0,86000,0,0,19000,3,2,3,9,8,0,1,0,0,0,0,0,0,73,1,972000,14,1
4,1,65324000.0,0,384000,0,102000,21000,32000,5000,3,6,2,9,4,0,0,0,0,0,0,0,2,68,1,544000,17,0
2,1,40689000.0,69,270000,3000,27000,39000,6000,99000,7,7,1,5,8,0,0,0,0,0,0,0,1,71,1,444000,13,0
2,0,18589000.0,89,6000,4000,25000,15000,12000,13000,2,2,1,3,7,0,0,0,0,0,0,0,1,53,0,75000,6,0
2,1,53359000.0,4,173000,4000,30000,3000,6000,41000,4,5,1,4,7,0,0,0,0,0,0,0,1,46,2,257000,10,0
2,0,51381500.0,19,5000,1000,3000,3000,263000,362000,0,27,0,0,1,0,0,0,0,0,0,0,1,36,1,637000,27,0
2,1,38360000.0,26,36000,2000,42000,20000,21000,10000,2,2,1,4,3,0,0,0,0,0,0,0,1,33,1,131000,7,0
4,1,84618000.0,96,684000,100000,801000,21000,66000,0,1,6,9,10,2,0,0,1,0,0,0,0,1,57,0,1672000,25,1
3,0,10979000.0,34,8000,4000,10000,2000,2000,4000,2,3,0,3,5,0,0,0,0,0,0,0,2,33,0,30000,6,0
3,1,38620000.0,56,112000,17000,44000,34000,22000,89000,1,2,5,3,3,0,0,0,0,0,0,0,1,59,0,318000,10,0
2,1,40548000.0,31,110000,0,5000,2000,0,3000,2,2,1,4,5,0,1,0,0,0,0,0,0,52,1,120000,7,1
4,0,46610000.0,8,96000,12000,96000,33000,22000,43000,6,4,1,6,6,0,0,0,0,0,0,1,0,70,2,302000,11,0
3,1,68657000.0,4,482000,34000,471000,119000,68000,22000,1,3,5,9,7,0,0,0,0,0,0,0,1,76,0,1196000,17,0
3,0,49389000.0,55,40000,0,19000,2000,1000,3000,1,2,0,3,7,0,0,0,0,0,0,0,1,71,2,65000,5,0
4,1,67353000.0,37,702000,17000,151000,0,8000,35000,5,5,6,12,2,0,0,0,0,0,0,0,1,52,1,913000,23,0
1,1,23718000.0,76,6000,3000,14000,15000,7000,36000,3,3,1,2,7,0,0,0,0,0,0,0,1,46,1,81000,6,0
2,0,42429000.0,99,55000,0,6000,2000,0,4000,2,1,1,3,5,0,0,0,0,0,0,0,2,49,1,67000,5,0
4,0,48948000.0,53,437000,8000,206000,160000,49000,42000,2,7,10,5,6,1,0,0,0,0,0,1,1,79,0,902000,22,1
2,1,80011000.0,3,421000,76000,536000,82000,178000,102000,2,8,6,5,4,0,0,0,0,0,0,0,1,42,1,1395000,19,0
3,1,20559000.0,88,13000,1000,29000,3000,0,7000,2,2,0,3,8,0,0,0,0,0,0,0,1,37,1,53000,5,0
2,1,21994000.0,4,9000,0,6000,3000,1000,3000,1,0,0,3,5,0,0,0,0,0,0,0,0,65,1,22000,3,0
4,0,51381500.0,80,81000,11000,50000,3000,2000,39000,1,1,3,4,2,0,0,0,0,0,0,0,1,63,0,186000,8,0
3,1,7500000.0,19,3000,1000,10000,3000,2000,12000,3,2,0,3,5,0,0,0,0,0,0,0,1,47,1,31000,5,0
2,0,79941000.0,72,123000,164000,266000,227000,30000,174000,1,2,4,9,1,0,0,0,0,0,0,0,2,46,0,984000,15,0
1,1,7500000.0,24,3000,18000,14000,15000,22000,50000,3,3,1,3,9,0,0,0,0,0,0,1,0,26,0,122000,7,0
2,1,41728000.0,92,13000,6000,15000,3000,5000,13000,1,2,0,2,10,0,0,0,0,0,0,0,1,54,1,55000,4,0
2,0,51381500.0,96,48000,5000,48000,6000,10000,7000,3,2,1,4,6,0,0,0,0,0,0,0,2,71,3,124000,7,0
4,1,72550000.0,39,826000,50000,317000,50000,38000,38000,9,5,2,12,8,0,0,0,0,0,0,0,0,68,2,1319000,19,0
2,0,65486000.0,29,245000,19000,125000,37000,67000,14000,1,4,2,10,2,0,0,0,0,0,0,0,2,65,1,507000,16,0
3,1,79143000.0,2,650000,37000,780000,27000,167000,32000,1,6,9,13,3,0,0,0,0,0,0,0,0,58,0,1693000,28,0
2,0,35790000.0,54,12000,6000,20000,30000,1000,3000,2,2,0,3,7,0,0,0,0,0,0,0,1,45,1,72000,5,0
2,0,82582000.0,54,510000,120000,550000,156000,40000,241000,1,4,9,7,1,1,0,0,1,0,0,1,2,45,0,1617000,20,2
2,1,66373000.0,57,328000,9000,124000,12000,24000,109000,7,4,2,10,3,0,0,0,0,0,0,0,1,44,2,606000,16,0
3,1,82384000.0,55,984000,51000,432000,180000,120000,190000,1,3,10,13,1,0,0,1,0,0,0,1,0,67,0,1957000,26,1
2,0,70287000.0,30,295000,35000,482000,121000,120000,40000,1,5,5,10,3,0,0,0,0,0,0,1,1,56,0,1093000,20,0
2,0,27938000.0,31,13000,0,8000,2000,1000,5000,1,1,0,4,3,0,0,0,0,0,0,0,2,34,1,29000,5,0
2,0,51381500.0,57,11000,3000,22000,2000,2000,6000,2,2,0,3,6,0,0,0,0,0,0,0,1,40,1,46000,5,0
4,1,55954000.0,63,447000,0,28000,0,0,43000,3,8,2,6,7,0,0,0,0,0,0,0,2,54,1,518000,16,0
3,0,75777000.0,12,712000,26000,538000,69000,13000,80000,1,3,6,11,1,0,1,1,0,0,0,1,1,40,0,1438000,20,2
2,1,66653000.0,18,452000,18000,102000,16000,18000,6000,4,4,2,12,3,0,0,0,0,0,0,0,0,47,2,612000,18,0
2,0,61823000.0,26,523000,7000,134000,37000,14000,169000,4,8,2,10,7,0,0,0,0,0,0,0,1,70,1,884000,20,0
4,0,67680000.0,8,546000,0,48000,0,6000,6000,1,7,3,8,5,0,0,0,0,0,0,0,1,71,1,606000,18,0
2,1,70666000.0,29,398000,40000,367000,119000,122000,30000,1,7,4,4,4,0,0,0,0,0,0,0,1,74,0,1076000,15,0
2,1,25721000.0,75,1000,3000,6000,3000,6000,15000,1,1,1,2,7,0,0,0,0,0,0,1,1,51,1,34000,4,0
2,1,32474000.0,0,10000,0,1000,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,2,55,2,11000,3,0
1,0,88194000.0,19,688000,14000,309000,201000,24000,38000,1,11,10,10,5,1,0,0,1,0,0,1,2,43,1,1274000,31,2
2,1,69096000.0,4,247000,49000,159000,7000,82000,109000,1,5,2,10,4,0,0,0,0,0,0,0,1,64,1,653000,17,0
2,1,74854000.0,90,856000,59000,487000,58000,29000,73000,7,2,5,5,5,0,0,0,0,0,0,0,1,52,3,1562000,12,0
3,1,66991000.0,1,496000,36000,460000,189000,60000,12000,3,4,8,6,3,0,0,0,0,0,0,0,0,68,0,1253000,18,0
1,1,51381500.0,25,25000,3000,43000,17000,4000,17000,3,3,0,3,8,0,0,0,0,0,0,0,0,49,1,109000,6,0
2,1,65031000.0,29,258000,107000,291000,84000,37000,86000,4,10,3,13,7,0,0,0,0,0,0,0,1,63,1,863000,26,0
4,1,60631000.0,88,565000,6000,65000,0,6000,19000,5,9,2,8,7,0,1,0,0,0,0,0,1,47,2,661000,19,1
2,1,28332000.0,58,14000,10000,13000,4000,15000,9000,1,2,1,4,2,0,0,0,0,0,0,0,2,70,0,65000,7,0
2,0,40246000.0,68,2000,1000,6000,2000,1000,1000,1,1,0,2,6,0,0,0,0,0,0,0,0,45,1,13000,3,0
3,1,75251000.0,34,721000,111000,925000,97000,18000,18000,1,7,6,5,5,0,0,0,0,0,0,1,0,50,0,1890000,18,0
2,0,75825000.0,40,1032000,105000,779000,137000,105000,51000,0,5,8,9,4,1,0,0,0,0,0,1,0,46,0,2209000,22,1
1,1,26326000.0,12,1000,0,5000,0,3000,9000,1,0,0,3,3,0,0,0,0,0,1,0,1,46,0,18000,3,0
2,1,56046000.0,9,577000,0,64000,0,0,51000,2,10,1,8,8,1,0,0,0,0,0,1,1,57,0,692000,19,1
2,0,29760000.0,87,64000,4000,68000,7000,5000,17000,4,3,1,4,8,0,0,0,0,0,0,0,0,37,1,165000,8,0
2,1,26304000.0,5,4000,1000,5000,2000,0,4000,1,1,0,2,7,0,0,0,0,0,0,0,1,53,1,16000,3,0
1,1,23559000.0,87,25000,5000,19000,7000,0,23000,3,3,0,3,7,0,0,0,0,0,0,0,1,49,1,79000,6,0
3,1,38620000.0,56,112000,17000,44000,34000,22000,89000,1,2,5,3,3,0,0,0,0,0,0,0,1,59,0,318000,10,0
2,0,81361000.0,18,163000,23000,424000,27000,65000,76000,1,3,10,13,1,0,0,0,0,0,0,0,2,35,0,778000,26,0
2,1,29440000.0,95,17000,8000,14000,10000,4000,3000,2,1,0,4,7,0,0,0,0,0,0,0,1,62,2,56000,5,0
3,1,36138000.0,48,130000,0,16000,0,0,5000,5,3,1,4,7,0,1,0,0,0,0,0,1,52,2,151000,8,1
2,0,50388000.0,3,292000,6000,37000,0,3000,34000,4,6,1,6,7,0,1,0,1,0,0,1,2,65,1,372000,13,2
2,1,79593000.0,70,350000,60000,568000,110000,133000,145000,1,5,6,7,2,0,0,1,0,0,0,0,2,49,0,1366000,18,1
2,1,54178000.0,79,135000,9000,39000,4000,0,7000,1,2,2,5,2,0,0,0,0,0,0,0,2,55,1,194000,9,0
4,1,51381500.0,4,230000,42000,192000,49000,37000,53000,12,7,2,8,9,0,0,0,0,0,0,0,0,65,3,603000,17,0
2,0,51381500.0,45,7000,0,8000,2000,0,1000,1,1,0,2,7,0,0,0,0,0,0,0,2,65,2,18000,3,0
3,1,51381500.0,87,445000,37000,359000,98000,28000,18000,1,2,4,8,1,0,0,0,0,0,0,0,1,49,0,985000,14,0
3,0,42394000.0,69,15000,2000,10000,0,1000,4000,1,1,0,3,7,0,0,0,0,0,0,0,2,50,1,32000,4,0
4,1,23626000.0,84,27000,2000,14000,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,2,52,1,43000,7,0
2,1,30096000.0,30,5000,3000,11000,12000,5000,9000,1,2,0,3,6,0,0,0,0,0,0,0,2,39,1,45000,5,0
2,0,47916000.0,72,505000,0,26000,0,0,75000,5,7,4,6,6,0,1,0,0,0,0,0,0,62,1,606000,17,1
2,0,51813000.0,37,51000,2000,7000,0,1000,2000,2,2,0,3,7,0,0,0,0,0,0,0,1,50,2,63000,5,0
1,1,78497000.0,44,207000,26000,447000,75000,0,223000,1,5,7,12,2,0,0,0,1,0,0,0,1,71,0,978000,24,1
4,1,50150000.0,32,135000,46000,92000,65000,61000,11000,2,5,2,7,5,0,0,0,0,0,0,0,1,39,0,410000,14,0
1,0,47823000.0,0,53000,1000,5000,2000,1000,10000,2,2,0,3,8,0,0,0,0,0,0,0,1,62,1,72000,5,0
4,0,34554000.0,43,41000,1000,6000,2000,0,5000,2,2,0,3,6,0,0,0,0,0,0,0,2,63,1,55000,5,0
2,1,85693000.0,59,386000,172000,183000,185000,132000,111000,2,9,5,11,5,0,0,0,0,0,0,0,1,43,1,1169000,25,0
4,1,65846000.0,68,562000,81000,276000,80000,40000,81000,1,6,3,6,4,0,0,0,0,0,0,0,1,77,0,1120000,15,0
2,1,87195000.0,35,217000,76000,690000,50000,26000,38000,1,3,11,5,1,0,0,0,0,0,0,1,2,63,0,1097000,19,0
0,1,24594000.0,94,1000,3000,6000,10000,0,9000,1,1,0,3,5,0,0,0,0,0,0,0,1,43,1,29000,4,0
2,1,49096000.0,15,144000,1000,32000,2000,1000,7000,4,4,1,4,7,0,0,0,0,0,0,0,1,58,2,187000,9,0
2,1,52413000.0,56,295000,106000,271000,75000,98000,65000,4,6,4,12,6,0,0,0,0,0,0,0,1,53,2,910000,22,0
2,0,38557000.0,17,76000,3000,31000,4000,4000,27000,2,3,1,3,7,0,0,0,0,0,0,0,0,44,1,145000,7,0
3,1,89058000.0,18,454000,194000,106000,31000,22000,43000,1,5,4,4,2,0,0,0,0,0,0,0,0,62,0,850000,13,0
2,1,77298000.0,46,425000,115000,292000,23000,35000,79000,1,6,6,11,3,0,0,0,0,0,0,0,1,43,1,969000,23,0
4,0,68126000.0,40,1332000,17000,311000,23000,51000,86000,1,7,4,5,9,0,1,0,0,0,0,1,0,31,0,1820000,16,1
3,1,57288000.0,27,527000,0,21000,0,0,60000,3,8,1,8,6,0,1,0,0,0,0,0,2,59,1,608000,17,1
2,0,86037000.0,95,490000,44000,125000,29000,20000,22000,1,6,7,11,3,0,1,1,0,0,0,1,1,31,0,730000,24,2
4,1,43974000.0,19,378000,0,101000,0,0,72000,5,6,4,6,7,0,0,0,0,0,0,0,0,42,1,551000,16,0
2,0,50785000.0,27,64000,1000,21000,0,1000,27000,2,2,1,3,6,0,0,0,0,0,0,0,1,60,2,114000,6,0
2,1,90765000.0,25,547000,99000,812000,151000,82000,33000,0,4,6,5,1,0,0,1,1,0,0,0,2,52,0,1724000,15,2
1,1,36550000.0,74,47000,90000,94000,123000,103000,120000,5,9,1,5,9,0,0,0,0,0,0,0,1,44,1,577000,15,0
1,1,30753000.0,85,12000,5000,25000,0,9000,30000,2,1,1,3,5,0,0,0,0,0,0,0,1,55,2,81000,5,0
2,1,21918000.0,37,1000,6000,7000,11000,5000,3000,2,2,0,3,6,0,0,0,0,0,0,0,1,53,1,33000,5,0
3,1,56129000.0,65,320000,48000,133000,39000,72000,48000,4,6,2,10,4,0,0,0,0,0,0,0,1,69,1,660000,18,0
3,0,32557000.0,13,34000,3000,29000,0,4000,10000,3,2,1,3,5,0,0,0,0,0,0,1,2,55,1,80000,6,0
3,1,19510000.0,63,9000,0,7000,3000,4000,7000,2,1,0,3,7,0,0,0,0,0,0,0,1,37,2,30000,4,0
2,0,30992000.0,83,17000,0,14000,7000,3000,2000,1,1,0,3,7,0,0,0,0,0,0,0,1,46,1,43000,4,0
2,0,101970000.0,69,722000,27000,102000,44000,72000,168000,0,6,8,13,2,0,1,1,1,0,0,1,1,39,0,1135000,27,3
1,1,71488000.0,87,162000,33000,124000,40000,28000,172000,2,3,4,7,1,0,0,0,0,0,0,0,1,57,0,559000,14,0
2,0,79607000.0,37,450000,133000,951000,173000,0,216000,1,3,6,6,1,0,0,0,0,0,0,1,1,38,0,1923000,15,0
3,1,54348000.0,51,70000,0,16000,0,0,4000,2,2,0,4,6,0,0,0,0,0,0,0,2,69,2,90000,6,0
4,1,51381500.0,23,352000,0,27000,10000,0,15000,3,6,1,7,6,0,0,0,0,0,0,0,1,61,1,404000,14,0
4,1,77376000.0,72,492000,19000,110000,16000,12000,12000,4,6,3,10,4,0,0,0,0,0,0,0,2,66,2,661000,19,0
2,1,62998000.0,10,120000,58000,73000,65000,89000,58000,5,5,4,5,5,0,0,0,0,0,0,0,1,70,1,463000,14,0
3,0,61331000.0,42,534000,5000,47000,0,5000,41000,5,11,1,6,8,0,0,0,0,0,0,0,1,64,2,632000,18,0
2,1,73448000.0,10,236000,106000,189000,23000,41000,130000,1,7,2,9,4,0,0,0,0,0,0,0,2,53,0,725000,18,0
2,1,51381500.0,96,231000,65000,196000,38000,71000,124000,1,6,5,7,4,0,0,0,0,0,0,0,1,59,1,725000,18,0
4,1,41551000.0,51,220000,0,33000,3000,0,23000,5,5,1,5,8,0,0,0,0,0,0,0,1,58,2,279000,11,0
4,1,62981000.0,21,796000,14000,590000,38000,44000,0,1,4,5,13,3,0,1,0,0,0,0,0,1,55,0,1482000,22,1
0,0,9548000.0,31,0,1000,3000,10000,6000,9000,2,1,0,3,8,0,0,0,0,0,0,0,0,46,1,29000,4,0
4,1,33762000.0,61,53000,1000,34000,2000,0,16000,3,2,2,2,8,0,0,0,0,0,0,0,1,63,3,106000,6,0
4,0,35860000.0,37,15000,0,8000,4000,2000,20000,2,1,1,2,5,1,0,0,0,0,0,1,2,49,2,49000,4,1
4,0,36921000.0,74,17000,1000,12000,3000,1000,4000,2,2,0,3,7,0,0,0,0,0,0,0,1,57,2,38000,5,0
3,0,92859000.0,46,962000,61000,921000,52000,61000,20000,1,5,4,12,2,0,0,0,0,0,0,0,0,30,0,2077000,21,0
3,1,65104000.0,4,738000,0,232000,13000,20000,50000,2,3,5,7,7,0,0,0,0,0,0,1,1,46,1,1053000,15,0
2,1,86111000.0,73,399000,28000,756000,36000,40000,126000,1,5,7,10,2,0,0,0,0,0,0,0,1,60,0,1385000,22,0
4,0,68352000.0,47,614000,16000,132000,43000,33000,33000,3,8,5,9,6,0,0,0,0,0,0,0,1,48,1,871000,22,0
2,1,41883000.0,13,32000,34000,41000,73000,16000,116000,3,4,2,3,7,0,0,0,0,0,0,0,1,34,1,312000,9,0
2,1,59809000.0,36,598000,16000,141000,32000,41000,49000,3,3,3,6,8,0,0,0,0,0,0,0,0,46,2,877000,12,0
2,1,23957000.0,47,2000,1000,18000,20000,11000,16000,1,2,0,3,6,0,0,0,0,0,0,1,0,47,1,68000,5,0
2,1,38547000.0,49,6000,1000,10000,0,1000,4000,1,1,0,2,8,0,0,0,0,0,1,0,1,41,1,22000,3,0
1,1,35688000.0,94,73000,3000,90000,12000,1000,32000,7,4,1,4,8,0,0,0,0,0,0,0,0,49,3,211000,9,0
3,1,49605000.0,65,42000,16000,29000,12000,20000,8000,1,2,1,4,3,0,0,0,0,0,0,0,2,56,0,127000,7,0
3,1,59354000.0,59,295000,21000,78000,39000,13000,13000,1,4,4,7,3,0,0,0,0,0,0,0,2,69,2,459000,15,0
2,1,65747000.0,96,346000,17000,48000,23000,13000,13000,4,8,1,6,6,0,1,0,0,0,0,0,2,53,1,460000,15,1
1,1,46344000.0,28,233000,20000,57000,8000,20000,91000,4,7,1,5,7,0,0,0,0,0,0,0,0,50,1,429000,13,0
2,0,34176000.0,12,5000,7000,24000,19000,14000,20000,4,3,0,4,6,0,0,0,0,0,0,0,2,34,1,89000,7,0
4,1,61010000.0,57,888000,0,57000,0,0,76000,2,8,5,11,5,0,0,0,0,0,0,0,0,70,1,1021000,24,0
2,1,69372000.0,10,997000,26000,269000,34000,13000,42000,1,10,4,6,4,0,1,1,0,0,0,1,1,73,0,1381000,20,2
2,0,49967000.0,4,212000,6000,69000,4000,12000,3000,3,6,1,5,7,0,0,0,0,0,0,0,1,64,1,306000,12,0
2,0,60199000.0,49,8000,1000,7000,2000,0,0,1,0,0,3,4,0,0,0,0,0,0,0,1,44,3,18000,3,0
2,1,55375000.0,3,42000,11000,57000,10000,28000,14000,1,1,1,6,2,0,0,0,0,0,0,0,1,45,1,162000,8,0
2,0,80317000.0,64,536000,11000,387000,149000,91000,57000,1,3,4,10,1,0,0,0,0,0,0,0,1,67,0,1231000,17,0
3,0,30523000.0,0,5000,0,3000,0,0,5000,1,1,0,2,7,0,0,0,0,0,0,0,1,64,3,13000,3,0
4,1,70356000.0,20,1349000,16000,249000,43000,16000,33000,2,10,6,9,6,0,0,0,0,0,0,0,0,77,0,1706000,25,0
2,1,23228000.0,91,53000,3000,49000,7000,4000,5000,4,3,0,4,8,0,0,0,0,0,0,0,2,38,1,121000,7,0
4,0,74165000.0,9,1001000,12000,240000,16000,12000,12000,1,5,4,10,2,0,0,0,0,0,0,0,1,47,0,1293000,19,0
2,1,43482000.0,83,18000,1000,32000,6000,3000,28000,3,2,0,4,6,0,0,0,0,0,0,0,1,56,3,88000,6,0
2,0,62551000.0,27,125000,16000,98000,134000,21000,27000,1,6,7,4,3,1,0,0,0,0,0,0,1,69,0,421000,17,1
2,0,52332000.0,63,212000,5000,33000,7000,0,2000,1,3,2,6,4,0,1,0,0,0,0,0,1,63,0,259000,11,1
2,0,66951000.0,46,277000,162000,305000,173000,76000,124000,1,3,4,7,1,0,0,0,0,0,0,0,1,34,0,1117000,14,0
2,1,26091000.0,84,15000,10000,19000,8000,17000,20000,3,2,1,3,5,0,0,0,0,0,0,0,2,65,2,89000,6,0
2,1,33456000.0,58,7000,3000,10000,8000,1000,7000,2,1,0,3,7,0,0,0,0,0,0,0,2,57,2,36000,4,0
2,1,28718000.0,78,12000,4000,6000,11000,8000,16000,2,2,0,3,8,0,0,0,0,0,0,0,1,40,1,57000,5,0
2,1,50447000.0,4,85000,7000,24000,2000,3000,27000,1,3,1,3,6,0,0,0,0,0,0,0,2,52,2,148000,7,0
4,1,53537000.0,17,81000,0,6000,0,0,6000,2,2,1,3,5,0,0,0,0,0,0,0,2,63,2,93000,6,0
2,0,52074000.0,77,59000,0,12000,0,0,48000,1,2,2,2,4,1,0,0,0,0,0,0,2,55,1,119000,6,1
4,1,80427000.0,56,1149000,71000,449000,69000,71000,26000,1,11,8,8,5,0,0,0,0,0,0,0,0,47,1,1835000,27,0
4,1,83837000.0,79,847000,66000,119000,86000,89000,111000,1,9,10,5,4,0,1,0,1,0,0,1,0,74,0,1318000,24,2
4,1,38853000.0,90,29000,0,14000,0,0,2000,2,2,0,3,7,0,0,0,0,0,0,0,2,52,2,45000,5,0
2,1,38285000.0,96,2000,0,5000,2000,0,1000,1,0,0,3,2,0,0,0,0,0,0,0,2,63,3,10000,3,0
1,1,78497000.0,44,207000,26000,447000,75000,0,223000,1,5,7,12,2,0,0,0,1,0,0,0,1,71,0,978000,24,1
4,1,51650000.0,81,152000,3000,22000,2000,5000,7000,1,4,1,4,5,0,0,0,0,0,0,0,2,46,1,191000,9,0
1,1,16248000.0,77,12000,11000,10000,3000,12000,9000,3,2,1,3,6,0,0,0,0,0,0,0,2,34,1,57000,6,0
3,1,66835000.0,21,620000,26000,195000,34000,17000,141000,1,6,4,13,2,0,0,0,0,0,0,0,1,76,0,1033000,23,0
3,1,30477000.0,16,47000,1000,6000,0,0,12000,1,1,1,3,6,0,0,0,0,0,0,0,2,38,1,66000,5,0
0,1,28249000.0,80,1000,9000,7000,2000,14000,10000,1,2,0,3,6,0,0,0,0,0,0,0,2,61,0,43000,5,0
2,1,25271000.0,45,10000,1000,18000,10000,4000,7000,1,1,1,2,9,0,0,0,0,0,0,0,0,39,1,50000,4,0
4,0,32303000.0,63,35000,0,2000,0,0,2000,2,1,0,4,5,0,0,0,0,0,0,0,2,52,1,39000,5,0
2,1,61286000.0,34,356000,0,107000,19000,9000,117000,2,7,1,8,5,0,0,0,0,0,0,0,1,56,1,608000,16,0
2,1,74068000.0,14,783000,30000,537000,140000,76000,15000,1,4,10,9,2,0,0,0,0,0,0,0,1,46,0,1581000,23,0
4,1,45759000.0,13,42000,1000,18000,3000,0,4000,2,2,0,3,7,0,0,0,0,0,0,0,1,58,2,68000,5,0
0,1,24882000.0,52,1000,4000,10000,29000,0,36000,1,1,1,2,6,1,0,0,0,0,0,0,0,44,1,80000,4,1
4,1,66973000.0,98,466000,22000,432000,147000,113000,102000,1,8,7,12,3,0,0,0,0,0,0,0,1,33,0,1282000,27,0
2,1,38872000.0,93,23000,3000,21000,3000,19000,22000,2,3,0,3,8,0,0,0,0,0,0,0,1,34,1,91000,6,0
2,1,51148000.0,38,235000,6000,45000,8000,9000,12000,4,5,1,6,6,0,0,0,0,0,0,0,1,49,2,315000,12,0
2,1,31353000.0,24,10000,0,10000,3000,1000,7000,2,1,1,2,8,0,0,0,0,0,0,0,1,45,2,31000,4,0
3,1,69661000.0,80,656000,16000,106000,32000,16000,8000,1,7,3,12,3,0,0,0,0,0,0,0,2,42,0,834000,22,0
2,1,80067000.0,82,519000,17000,813000,27000,173000,51000,1,4,6,6,2,0,0,1,0,0,0,0,1,68,0,1600000,16,1
2,1,86718000.0,20,344000,189000,482000,50000,33000,172000,1,5,6,5,2,0,0,0,0,0,0,0,1,68,0,1270000,16,0
4,0,46854000.0,81,96000,1000,79000,7000,1000,79000,6,5,1,3,8,1,0,0,0,0,0,1,2,49,2,263000,9,1
2,0,69142000.0,50,448000,4000,34000,6000,4000,39000,3,8,1,7,5,0,1,0,0,0,0,0,2,70,1,535000,16,1
2,0,75922000.0,60,265000,138000,553000,224000,23000,92000,1,4,4,9,1,0,0,0,0,0,0,0,1,54,0,1295000,17,0
2,0,63693000.0,63,587000,43000,337000,42000,87000,54000,3,11,6,9,6,0,0,0,0,0,0,0,1,44,1,1150000,26,0
4,1,102160000.0,54,763000,29000,138000,76000,176000,58000,0,7,9,10,4,0,1,1,1,0,0,1,0,45,0,1240000,26,3
4,0,40637000.0,72,22000,0,13000,0,0,3000,2,1,0,3,7,0,0,0,0,0,0,0,1,57,2,38000,4,0
